question,answer
Which planet is known as the ‘Red Planet’?,Mars is known as the ‘Red Planet.’
Who wrote ‘War and Peace’?,‘War and Peace’ was written by Leo Tolstoy.
What element does ‘O’ represent on the periodic table?,O’ represents oxygen on the periodic table.
In what year was the United Nations established?,The United Nations was established in 1945.
What is the name of the famous art museum in Paris?,The famous art museum in Paris is the Louvre.
Which country has the most active volcanoes?,Indonesia has the most active volcanoes.
What is the term for a hole-in-one in golf?,A hole-in-one in golf is commonly referred to as an “ace.”
Which country is known as the ‘Land of the Rising Sun’?,Japan is known as the ‘Land of the Rising Sun’.
Who was the first woman to fly solo across the Atlantic?,Amelia Earhart was the first woman to fly solo across the Atlantic.
What is the boiling point of water in Fahrenheit?,The boiling point of water in Fahrenheit is 212°F.
Who wrote ‘Frankenstein’?,Frankenstein’ was written by Mary Shelley.
What is the longest running Olympic event?,The longest running Olympic event is the Marathon.
Which planet is known as the ‘Giant Planet’?,Jupiter is known as the ‘Giant Planet.’
What is the capital of Brazil?,The capital of Brazil is Brasília.
Who is the artist behind the painting ‘The Starry Night’?,‘The Starry Night’ was painted by Vincent van Gogh.
What was the name of the ship that brought the Pilgrims to America?,The ship was called the Mayflower.
What year was the first iPhone released?,The first iPhone was released in 2007.
What is the name of the largest species of penguin?,The largest species of penguin is the Emperor Penguin.
Which continent is the largest by land area?,Asia is the largest continent by land area.
Which country won the 2018 FIFA World Cup?,France won the 2018 FIFA World Cup.
Who is the author of the ‘A Song of Ice and Fire’ series?,George R.R. Martin is the author of the ‘A Song of Ice and Fire’ series.
What is the largest moon of Jupiter?,The largest moon of Jupiter is Ganymede.
What is the main function of the human heart?,The main function of the human heart is to pump blood.
Who sculpted the ‘David’?,The ‘David’ was sculpted by Michelangelo.
Which African country has the largest population?,Nigeria has the largest population in Africa.
What year did the French Revolution begin?,The French Revolution began in 1789.
What is the maximum score in a game of ten-pin bowling?,The maximum score in ten-pin bowling is 300.
What part of the body is affected by jaundice?,Jaundice affects the liver.
What is the smallest country in the world?,Vatican City is the smallest country in the world.
Who invented the telephone?,Alexander Graham Bell invented the telephone.
Who was the first African American president of the United States?,Barack Obama was the first African American president.
Who wrote ‘Crime and Punishment’?,‘Crime and Punishment’ was written by Fyodor Dostoevsky.
What is the closest star to Earth after the Sun?,The closest star to Earth after the Sun is Proxima Centauri.
What is the chemical symbol for sodium?,The chemical symbol for sodium is Na.
How long is a marathon?,A marathon is 26.2 miles (42.195 kilometers) long.
Who painted the ‘School of Athens’?,The ‘School of Athens’ was painted by Raphael.
Who was the first man to set foot on the Moon?,Neil Armstrong was the first man to set foot on the Moon in 1969.
What is the largest desert in the world?,The largest desert in the world is the Antarctic Desert.
Which organ in the human body regulates blood sugar levels?,The pancreas regulates blood sugar levels.
Who wrote ‘The Chronicles of Narnia’ series?,‘The Chronicles of Narnia’ was written by C.S. Lewis.
Who created the first computer programming language?,Ada Lovelace created the first computer programming language.
Who painted the ‘Girl with a Pearl Earring’?,Girl with a Pearl Earring’ was painted by Johannes Vermeer.
Which river is the longest in Africa?,The Nile River is the longest river in Africa.
Who was the first emperor of Rome?,Augustus was the first emperor of Rome.
What is the oldest professional sport in the world?,The oldest professional sport is cricket.
What element is represented by the symbol ‘He’?,He’ represents helium on the periodic table.
Who wrote ‘The Picture of Dorian Gray’?,‘The Picture of Dorian Gray’ was written by Oscar Wilde.
Who painted ‘The Birth of Venus’?,The Birth of Venus’ was painted by Sandro Botticelli.
In what year was the Titanic’s maiden voyage?,The Titanic’s maiden voyage was in 1912.
What is the largest country by population?,China is the largest country by population.
What is the atomic number of oxygen?,The atomic number of oxygen is 8.
What sport is played at the Winter Olympics?,Sports played at the Winter Olympics include ice hockey and skiing.
Who wrote ‘The Lord of the Rings’ series?,J.R.R. Tolkien wrote ‘The Lord of the Rings’ series.
What does ‘Wi-Fi’ stand for?,Wi-Fi’ stands for Wireless Fidelity.
Which is the smallest continent by land area?,Australia is the smallest continent by land area.
What is the name of the process by which plants make their food?,The process by which plants make their food is called photosynthesis.
Who is famous for the ‘Water Lilies’ series?,Claude Monet is famous for the ‘Water Lilies’ series.
What is the capital of Egypt?,The capital of Egypt is Cairo.
Who was the first President of the United States?,George Washington was the first President of the United States.
What is the chemical symbol for carbon?,The chemical symbol for carbon is C.
Who wrote ‘Pride and Prejudice’?,‘Pride and Prejudice’ was written by Jane Austen.
In what sport would you perform a ‘double fault’?,A ‘double fault’ is performed in tennis.
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.
"Which country is the world’s largest producer of coffee?,",Jupiter is the largest planet in our solar system.
Who painted ‘The Creation of Adam’?,The Creation of Adam’ was painted by Michelangelo.
In which year did World War I begin?,World War I began in 1914.
What does “HTML” stand for?,“HTML” stands for HyperText Markup Language.
